"customer_id","full_name","address","phone_number","email_address","date_of_birth","ssn"
1,"John Doe","1234 Elm St, City, ST","123-456-7890","john.doe@email.com","1985-06-15","123-45-6789"
2,"Alice Smith","5678 Oak St, City, ST","987-654-3210","alice.smith@email.com","1990-07-22","987-65-4321"
3,"Bob Johnson","2345 Maple Ave, Decatur, IL","555-123-4567","bob.johnson@email.com","1980-10-30","543-21-9876"
4,"Emily Davis","8765 Pine Ln, Peoria, IL","555-987-6543","emily.davis@email.com","1992-02-10","876-54-3210"
5,"Michael Brown","4321 Birch Rd, Urbana, IL","312-123-7890","michael.brown@email.com","1987-12-05","234-56-7890"
6,"Sarah Wilson","6543 Cedar Dr, Rockford, IL","630-567-8901","sarah.wilson@email.com","1988-04-25","765-43-2109"
7,"James Taylor","3456 Fir Ave, Bloomington, IL","217-234-5678","james.taylor@email.com","1995-03-14","567-89-0123"
8,"Linda Martinez","1234 Maple Dr, Normal, IL","708-345-6789","linda.martinez@email.com","1983-11-07","432-10-9876"
9,"David Garcia","7654 Elm St, Champaign, IL","815-678-1234","david.garcia@email.com","1991-06-12","321-65-4321"
10,"Laura Anderson","9876 Pine St, Carbondale, IL","618-123-8901","laura.anderson@email.com","1994-08-18","654-32-1098"
11,"Robert Thomas","6543 Oak St, Springfield, IL","309-234-5678","robert.thomas@email.com","1986-05-21","876-12-3456"
12,"Jessica Lee","3210 Cedar Ln, Rock Island, IL","563-567-8901","jessica.lee@email.com","1989-09-30","432-12-6543"
13,"William Harris","4567 Birch Dr, Quincy, IL","217-345-6789","william.harris@email.com","1982-01-09","321-54-8765"
14,"Patricia Clark","7890 Willow Rd, Galesburg, IL","309-678-1234","patricia.clark@email.com","1993-03-17","654-76-4321"
15,"Christopher Lewis","5432 Oak Ave, Belleville, IL","618-456-7890","christopher.lewis@email.com","1990-12-23","543-21-6543"
16,"Nancy Walker","4321 Pine St, Edwardsville, IL","314-234-5678","nancy.walker@email.com","1981-05-11","765-87-1234"
17,"Kevin Allen","1235 Birch Rd, Bloomington, IL","309-234-5670","kevin.allen@email.com","1992-10-01","432-21-8765"
18,"Megan Young","8765 Cedar Dr, Peoria, IL","309-876-5432","megan.young@email.com","1984-02-18","567-43-2109"
19,"Joshua King","2345 Oak Ln, Springfield, IL","217-345-9876","joshua.king@email.com","1990-07-04","654-21-4321"
20,"Lisa Scott","3456 Maple Dr, Rockford, IL","630-234-5678","lisa.scott@email.com","1987-11-16","765-43-1098"
21,"Daniel Moore","6547 Pine Rd, Carbondale, IL","618-123-9876","daniel.moore@email.com","1985-03-25","432-87-1234"
22,"Jessica Taylor","7896 Cedar St, Champaign, IL","217-567-8901","jessica.taylor@email.com","1991-05-10","543-87-6543"
23,"Steven Allen","1237 Oak Rd, Decatur, IL","217-234-8765","steven.allen@email.com","1988-08-29","321-76-4321"
24,"Brittany Harris","6540 Maple Ave, Quincy, IL","309-987-6543","brittany.harris@email.com","1992-12-14","765-32-1098"
25,"Eric Adams","3457 Birch Ln, Peoria, IL","309-234-5670","eric.adams@email.com","1985-09-02","432-65-8765"
26,"Kelly Robinson","2345 Pine St, Galesburg, IL","309-567-8765","kelly.robinson@email.com","1994-11-30","543-21-9876"
27,"Charles Carter","1234 Willow Rd, Rock Island, IL","563-987-6543","charles.carter@email.com","1989-01-16","654-10-9876"
28,"Deborah Mitchell","7653 Cedar Ln, Urbana, IL","217-234-1234","deborah.mitchell@email.com","1991-04-05","876-54-3210"
29,"Samuel Perez","9876 Birch Rd, Springfield, IL","217-654-7654","samuel.perez@email.com","1983-07-25","432-10-1234"
30,"Angela Carter","2341 Pine Dr, Decatur, IL","217-345-2345","angela.carter@email.com","1987-02-12","765-32-1098"
31,"Benjamin Walker","4322 Oak Ave, Bloomington, IL","309-567-1234","benjamin.walker@email.com","1992-06-09","321-87-6543"
32,"Sophia Rodriguez","6547 Cedar Rd, Edwardsville, IL","618-234-1234","sophia.rodriguez@email.com","1994-10-18","765-10-4321"
33,"Liam Stewart","7654 Birch Dr, Carbondale, IL","618-234-5678","liam.stewart@email.com","1990-01-30","432-87-1234"
34,"Samantha Carter","3456 Oak St, Rockford, IL","630-567-8902","samantha.carter@email.com","1984-05-23","321-76-5432"
35,"Jacob Johnson","2347 Maple Rd, Springfield, IL","217-234-5678","jacob.johnson@email.com","1989-11-08","654-21-4321"
36,"Ava Hill","5678 Cedar Ave, Galesburg, IL","309-345-9876","ava.hill@email.com","1991-02-04","432-12-9876"
37,"Olivia Young","2345 Birch Ln, Urbana, IL","217-567-8901","olivia.young@email.com","1982-06-21","765-32-1098"
38,"James Wright","7654 Oak Dr, Carbondale, IL","618-234-6789","james.wright@email.com","1994-09-14","543-76-2109"
39,"Amelia Turner","9870 Pine Ave, Bloomington, IL","309-234-9876","amelia.turner@email.com","1983-04-07","432-21-8765"
40,"Jackson Lee","3452 Birch Ln, Decatur, IL","217-765-4321","jackson.lee@email.com","1992-01-18","321-87-6543"
41,"Ella Lewis","2341 Oak Rd, Peoria, IL","309-567-1234","ella.lewis@email.com","1988-12-19","654-98-4321"
42,"Lucas Hall","5670 Cedar Ln, Rockford, IL","630-345-9876","lucas.hall@email.com","1984-10-15","432-21-9876"
