"customer_id","username","password"
1,"john_doe_1985","bN7#kL2$pQ9x"
2,"alice_smith_1990","mR4$zX8#wK3y"
3,"bob_johnson_1980","fH6#jT1$sN5z"
4,"emily_davis_1992","qW9#cB7$lM2x"
5,"michael_brown_1987","tK3$nP6#rD8y"
6,"sarah_wilson_1988","gF5#hJ2$zX7w"
7,"james_taylor_1995","mL8#bN4$qK1x"
8,"linda_martinez_1983","pR6$sT3#wH9y"
9,"david_garcia_1991","cB2#jM7$fN5z"
10,"laura_anderson_1994","xK4$qW1#lS6w"
11,"robert_thomas_1986","hT9#nD3$rP7x"
12,"jessica_lee_1989","zF5$mB8#kJ2y"
13,"william_harris_1982","sN7#qL4$wX1z"
14,"patricia_clark_1993","bK2$fH6#jT9x"
15,"christopher_lewis_1990","rM5#xP3$cB7y"
16,"nancy_walker_1981","tJ8$gN1#kF4z"
17,"kevin_allen_1992","wS6#lH3$qD9x"
18,"megan_young_1984","nB4$rK7#mT2y"
19,"joshua_king_1990","fX1#cP5$zJ8w"
20,"lisa_scott_1987","qM3$hN9#bS6x"
21,"daniel_moore_1985","lK7#tF2$wR4y"
22,"jessica_taylor_1991","xD5$sB1#jH9z"
23,"steven_allen_1988","pN3#rM6$kT7x"
24,"brittany_harris_1992","zJ2$fK8#qW5y"
25,"eric_adams_1985","mH6#bX4$lN1z"
26,"kelly_robinson_1994","tR9$cS3#wF7x"
27,"charles_carter_1989","nL5#qJ1$hB8y"
28,"deborah_mitchell_1991","rX2$pK7#mT4z"
29,"samuel_perez_1983","bF9#zH3$sN6x"
30,"angela_carter_1987","kM1$wJ5#qL8y"
31,"benjamin_walker_1992","xT7#nR2$fD9z"
32,"sophia_rodriguez_1994","lS4$bK6#hP3x"
33,"liam_stewart_1990","qN8#mF1$zJ5y"
34,"samantha_carter_1984","wH3$rX9#tB7z"
35,"jacob_johnson_1989","cK6#pL2$nM4x"
36,"ava_hill_1991","sF7$jT5#bR1y"
37,"olivia_young_1982","xN9#qD3$mH6z"
38,"james_wright_1994","rB4$kS8#lJ2x"
39,"amelia_turner_1983","tM1#wF6$pX9y"
40,"jackson_lee_1992","nH5$zK3#cR7x"
41,"ella_lewis_1988","qJ2#bS9$mN4y"
42,"lucas_hall_1984","lT7$xF1#wP5z"
43,"mia_king_1990","kB3#hR6$sM9x"
44,"lily_allen_1989","zN8$qJ4#tD2y"
45,"mason_scott_1993","fX5#mK1$rH7z"
46,"harper_lopez_1990","pS2$bT9#nL6x"
47,"nolan_martin_1986","wM7#qF3$hJ1y"
48,"leah_thompson_1990","xR4$kN8#zB5z"
49,"ethan_robinson_1993","tJ1#sH6$lK9x"
50,"zoe_carter_1992","mD5$rX2#bN7y"
